,seqnames,method,repeattype,start,end,something1,strand,dot,ID,Motif,Superfamily
437614,chr10,RepeatMasker,dispersed_repeat,148968896,148969014,20.5,-,.,ID=434519;Target,DTH_ZM00226_consensus_MITE,DTH
437813,chr10,RepeatMasker,dispersed_repeat,149067950,149067969,0,+,.,ID=434717;Target,(AAC)n,Simple Repeat
437814,chr10,RepeatMasker,dispersed_repeat,149068120,149068202,28.9,-,.,ID=434718;Target,RIX_edaej_AC215611_0,LINE_unknown
437815,chr10,RepeatMasker,dispersed_repeat,149068129,149068760,34.6,-,.,ID=434719;Target,RIX_ekeje_AC197537_0,LINE_unknown
437816,chr10,RepeatMasker,dispersed_repeat,149068836,149069321,29.5,-,.,ID=434720;Target,RIX_leijoh_AC212369_0,LINE_unknown
437817,chr10,RepeatMasker,dispersed_repeat,149069389,149069440,7.7,+,.,ID=434721;Target,sofi_AC215261_13035_LTR,Copia
437818,chr10,RepeatMasker,dispersed_repeat,149069563,149069648,24.1,-,.,ID=434722;Target,hiimam_AC207734_9687,LTR_unknown
437819,chr10,RepeatMasker,dispersed_repeat,149069645,149069761,25.9,+,.,ID=434723;Target,ojam_AC198400_5989_LTR,Gypsy
437820,chr10,RepeatMasker,dispersed_repeat,149069764,149069852,25,+,.,ID=434724;Target,wuwe_AC212122_11600_LTR,Gypsy
437821,chr10,RepeatMasker,dispersed_repeat,149070308,149075990,1.7,+,.,ID=434725;Target,RIL_loneok_AC193379_0_LINE,L1
437822,chr10,RepeatMasker,dispersed_repeat,149075987,149076138,30.3,-,.,ID=434726;Target,DTH_ZM00358_consensus_MITE,DTH
437823,chr10,RepeatMasker,dispersed_repeat,149075991,149076122,22.7,+,.,ID=434727;Target,DTH_ZM00102_consensus_MITE,DTH
437824,chr10,RepeatMasker,dispersed_repeat,149076127,149076538,2.2,+,.,ID=434728;Target,RIL_loneok_AC193379_0_LINE,L1
437825,chr10,RepeatMasker,dispersed_repeat,149076538,149076918,30.5,+,.,ID=434729;Target,wuwe_AC212122_11600_LTR,Gypsy
437826,chr10,RepeatMasker,dispersed_repeat,149077439,149077666,16.4,-,.,ID=434730;Target,egisu_AC206234_9137_LTR,Gypsy
437827,chr10,RepeatMasker,dispersed_repeat,149077658,149078074,23,-,.,ID=434731;Target,egisu_AC206234_9137_LTR,Gypsy
437828,chr10,RepeatMasker,dispersed_repeat,149079681,149079724,4.5,-,.,ID=434732;Target,RIL_naefe_AC212820_0_LINE,L1
791797,chr10,.,five_prime_UTR,148968414,148968564,.,+,.,ID=g5486.t1.utr5p1,NA,
791798,chr10,.,exon,148968565,148968597,.,+,.,ID=g5486.t1.exon1,NA,
791800,chr10,.,exon,148970772,148970822,.,+,.,ID=g5486.t1.exon2,NA,
791802,chr10,.,exon,148980688,148980781,.,+,.,ID=g5486.t1.exon3,NA,
791804,chr10,.,exon,148997808,148997938,.,+,.,ID=g5486.t1.exon4,NA,
791806,chr10,.,exon,148998048,148998119,.,+,.,ID=g5486.t1.exon5,NA,
791808,chr10,.,exon,149006107,149006172,.,+,.,ID=g5486.t1.exon6,NA,
791810,chr10,.,exon,149006240,149006323,.,+,.,ID=g5486.t1.exon7,NA,
791812,chr10,.,exon,149018064,149018193,.,+,.,ID=g5486.t1.exon8,NA,
791814,chr10,.,exon,149018296,149018405,.,+,.,ID=g5486.t1.exon9,NA,
791816,chr10,.,exon,149027768,149027926,.,+,.,ID=g5486.t1.exon10,NA,
791818,chr10,.,exon,149027997,149028133,.,+,.,ID=g5486.t1.exon11,NA,
791820,chr10,.,exon,149034370,149034451,.,+,.,ID=g5486.t1.exon12,NA,
791822,chr10,.,exon,149034547,149034636,.,+,.,ID=g5486.t1.exon13,NA,
791824,chr10,.,exon,149051645,149051749,.,+,.,ID=g5486.t1.exon14,NA,
791826,chr10,.,exon,149051834,149051953,.,+,.,ID=g5486.t1.exon15,NA,
791828,chr10,.,exon,149062184,149062253,.,+,.,ID=g5486.t1.exon16,NA,
791830,chr10,.,exon,149062361,149062406,.,+,.,ID=g5486.t1.exon17,NA,
791832,chr10,.,exon,149079504,149079569,.,+,.,ID=g5486.t1.exon18,NA,
791834,chr10,.,exon,149079646,149079834,.,+,.,ID=g5486.t1.exon19,NA,
791836,chr10,.,three_prime_UTR,149079668,149079834,.,+,.,ID=g5486.t1.utr3p1,NA,
